,senti,tweet
6251,0.5859,"@USER @USER What was the reactions to these tickers after their fines by EU?  The EU fined:  $AAPL $14B in 2016 (2.3% mkt cap) $GOOGL $5B in 2018, $2.7B in 2017,  $INTC $1.5B in 2009  In the grand scheme of things, the $2.8B fine on $BABA is not as high as it could be been.  It’s 0.4% of MC"
62245,0.0,Added $intc back  
117508,-0.2732,$INTC - Intel -6% on cut 2019 outlook  
90552,0.0,McAfee hires new CEO... IPO on tap? $INTC  
46439,-0.3999,$INTC has this massive gap to fill! And providing no surprise news that pulls the market down; I am predicting tomorrow is the day! It will open on resistance and blast off and will fill the gap before earnings! 🚀  
48594,-0.1531,"Nvidia's ARM Acquisition: Good For Nvidia, Bad For AMD   $NVDA $AMD $INTC"
38195,-0.3668,"$intc jun ‘21 $62.5 calls for $.50?  Why the fuck not. Risk so low here - any upward movement, these calls will go nicely."
128315,0.5803,"$NVDA approaching 50DEMA. Technicals pos slope. IV rank at 57%. P/C 0.507 Float shorted 3.15%. Are $INTC issues, $NVDA gain??  "
128279,-0.5423,Today’s low 45.75 😬 $INTC
76619,0.0,$INTC daily... held the gap up and has consolidated well...gap above for reference  
100371,0.6124,$INTC [Sep-20 47 Calls] up +425.00%  Alerted at $1.20  on Aug 29 2019  9:59AM Peak after alert $6.30 on 2019-09-12   Daily Progress:  
27705,0.0,"#CES2021 Keynotes:  $AMD Tuesday, Jan 12, at 8am PT/11am ET  $NVDA Jan 12, at 9am PT/ 12pm ET  $MSFT Jan 13, at 6am PT/9 am ET  $INTC Jan 11, at 1pm PT / 4pm ET Run time: 30 minutes"
91751,0.1779,From #Amazon to #Intel and #Qualcomm to #Ford - LOTS of companies chasing automotive data dollars at #CES2020 $F $AMZN $INTC $QCOM  Story with @USER on @USER      
83492,0.0,$INTC Intel Corporation SEC Filing: Form 8-K/A  
56409,0.6124,"Nice downtrend consolidation here for $INTC. As long as this volume shelf holds, makes for a great long. This is in no way a bad company. Would love a change of leadership for purposes of future growth, but that's neither here nor there in regards to current price action.  "
11140,0.0,$INTC annual reports for 1968-2012  
55484,0.0258,The first sign that #Intel's #tech stumbles are undermining US #nationalsecurity.  It won't be the last:    #semiconductor #computing #innovation $INTC
42384,0.6249,Semis looking great this morning $INTC $MU etc..
64224,-0.3527,@USER Do you think the drop with $INTC allowed $AMD and $TSM to move this high? Will $MU be the next to pop?
107459,-0.2732,Intel $INTC Price Target Cut to $57.00 by Analysts at Bank of America  
131279,0.8176,"Ride with Batman, thanks to Intel and Warner Bros.’ car entertainment system $INTC $NFLX #Automotive #Entertainment #CES2019  "
128496,-0.6739,@USER $INTC EPS reaction Apparently what Intel thinks/expects isn't really applicable to the rest of the Chip sector Prefer to focus on sentiment from $TXN I mean... WTF does INTC know about anything -- They don't even have 10nm yet
26830,0.0,that $INTC news is pulling down some other semis
99221,0.0,Daily trading range of $INTC    
10901,0.0,Intel Sees 2021 Adj. EPS $4.55  Related Tickers: $INTC Read more at:  
112267,0.0,$INTC New market information for Intel Corporation at    #STOCKS #NASDAQ DataSwarm ref: 27227
98978,0.0,$INTC  Intel sees FY19 $4.60 vs $4.38 S&amp;P Capital IQ Consensus Estimate; sees revs $71.0 bln vs $69.47 bln S&amp;P Capital IQ Consensus Estimate  Previous FY19 guidance stood at EPS of approx. $4.40 with revs of approx. $69.5 bln.
94465,-0.6486,"$INTC in Uptrend: price may ascend as a result of having broken its lower Bollinger Band on December 3, 2019. View odds for this and other indicators:   #Intel #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  "
97548,0.7901,Intel Growth Returns   $INTC Great Dividend Stock BUY INTC!
128933,0.0,@USER Think I can guess how the semis are gonna do tomorrow.  (...... $INTC  🤢)
73871,0.0,Tigress Financial Reaffirms “Buy” Rating for Intel $INTC  
130491,0.296,Zacks: Analysts Expect Intel Co. $INTC Will Post Earnings of $1.22 Per Share   #markets
66012,-0.2263,$INTC Intel Q2  Revenue: Total +20% Data-centric +34% PC-centric +7%  FY guidance (vs January guidance): Revenue $75B (up $1.5B) Non-GAAP EPS $4.85 (down $0.15)  7nm product transition delayed versus prior expectations  Press release:    
11131,0.0,anyone expecting news today on $INTC?    don't see a presentation filed yet or any press releases
77611,0.0,@USER @USER Got me thinking about my roadmap now.  $INTC  
85332,0.5859,  Newswire - The AI Eye Reports on Growing Market for Artificial Intelligence Chips: (OTCPINK: $GTCH) (NasdaqGS: $INTC) (NasdaqGS: $QCOM)  
108042,0.4019,"PR: GeIL launches the EVO X II and EVO X II ROG-certified DDR4 RGB Gaming Memory to include 3rd Gen @USER Ryzen platform support $AMD, $INTC    "
38849,-0.4767,$INTC Lower Prices Lower Volume Daily appearances since 2010: 52 Close 5 days later ±: Avg: 0.31 SD: 1.08 Worst: -2.20 Best: 3.47  10 days later: Avg: 0.03 SD: 1.87 Worst: -5.87 Best: 4.46  30 days later: Avg: 0.47 SD: 2.60 Worst: -4.72 Best: 7.83
70869,0.0,$INTC  02-Jul     - Daily stock market timing forecast -     ◆ Investing view     =&gt; Sell - Bearish     ◆ Search for the daily stock market timing forecast           ◆ Upper~Lower s...    
97180,-0.4019,"This isn't how things usually work. For example, $INTC's ex-CEO Brian Krzanich forfeited equity worth more than $40 million when he was fired last year, also after a relationship with an employee."
3188,0.6597,"$INTC, first 1 minute support at BBLo , , Bullish Reversal, at Support level BBLo , at Resistance level YHi , 1 Minute, 09:31"
2708,-0.2023,$INTC  down $1 post close to near March lows  
79129,-0.2665,"$INTC - Hmm.. so i see a top line smash and earnings beat   + a revenue guidance beat and a slight miss on earnings guidance.   I am not long Intel, but these headline numbers aren't enough to get me bearish on it, especially after falling 1.75% in regular trading and 4%+ in AH."
68849,-0.4404,Charts posted for members last week for the following equities and follow up:  $INTC  Chart posted at $59.53. Low after post last week of $57.35. High last week $60.62. Current price $60.00  Pull back to test week's lows and bounce back over price posted  
27044,0.0,$INTC  Jan 12     = Daily stock market forecast =     ◆ Investment position     =&gt; Neutral - Bullish     ◆ RSS feed. Stock forecast for the next 10 days           ◆ Upper~Lower stock p...    
3551,0.0,"$INTC 70C Exp:20-Aug-21 ↑↑  🚀 Total(Day): $60,636  #SmartMoneyFlow  "
85430,0.0,February 20 Investor Ideas #AIEYE; Let the Chips Fall Where They May - The Burgeoning Market for #ArtificialIntelligence Chips: (OTCPINK: $GTCH) (NasdaqGS: $INTC) (NasdaqGS: $QCOM) @USER @USER @USER    
75299,-0.5719,"Stocks May Drop on May 21 Ahead of Economic Data Dump   $INTC, $AAPL, $CSCO $spy #stocks #investings #StockMarket #trading"
16584,0.0,"$INTC #Intel Corp. INTC - Embedded Expectations Analysis - 2021 02 17: Intel Corporation (INTC:USA) currently trades below corporate averages relative to UAFRS-based (Uniform) earnings, with a 16.6x Uniform P/E. At these levels, the…   #equity #stocks  "
2091,0.0,May 60 calls are flying off the shelves for $INTC   
10089,0.0,@USER @USER @USER @USER @USER Seeing some bearish flow on $INTC March 26 67.50
97273,0.5859,New episode of the Six Five w/ @USER and I is live. This episode: 1. @USER JEDI Win 2. @USER Earnings 3. @USER Earnings 4. @USER Developer conf. #SDC19 5. @USER Earnings  6. Previewing #MSIgnite    $MSFT $AMZN $INTC $AMD  
74533,0.0,$INTC not often that I see so many ranges. Bullish list  
116702,0.0516,OPEN before CLOSE | Stocks slip as strong Q1 GDP report 🇺🇸 clashes with poor @USER 💻 &amp; @USER ⛽ earnings $DJIA $XOM $INTC [VIDEO🎥]    
75826,0.0,"$INTC enters an Uptrend because Momentum Indicator exceeded the 0 level on May 15, 2020. View odds for this and other indicators:   #Intel #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today  "
22920,0.4939,$INTC  Strength out of Intel with earnings after the close.  Is this an example of investors  buying the rumor?  
104613,-0.5859,"The CEO of AMD explains the patient, 5-year strategy she followed to take the chipmaker away from the edge of ruin and into Google's, Microsoft's, and Amazon's data centers    $amd $intc #AMDEPYCHorizon"
125694,0.1779,New England Research &amp; Management Has Lifted Its Intel $INTC Stake by $1.26 Million; Cognizant Tech Solutions $CTSH Position Held by Davis R M Inc   
89398,0.0,"Intel Trades Up On Q4 Earnings Beat, Higher Guidance $INTC  "
23200,0.6249,"$INTC and $IBM earnings tomorrow, worth keeping an eye on, both have pretty cheap options"
102022,0.0,$MU Micron Technology - Monthly $INTC Intel Corp - Monthly $NVDA Nvidia Corp - Monthly $AMAT Applied Materials Inc - Monthly  
110545,0.0,$INTC New market information for Intel Corporation at    #STOCKS #NASDAQ DataSwarm ref: 37331
130024,0.296,$INTC  new alert at    #stocks #daytrading  #NYSE #NASDAQ #market 1966
89948,0.2023,".@USER Pro's Top 5 #Stocks To #Watch For Thursday, Jan. 23, 2020: $CODX, $LUV, $INTC, $PAYC, #EPZM #business #investing #markets #trading  "
57695,0.4588,Long $INTC  😁
92284,0.5754,OptionAlarm provides Option Swing Trade Alerts With REAL Results! Try It For 10 Days:   It's FREE! No Credit Card Required! $MU $INTC $SBUX $LULU
46067,0.0,@USER I wonder $AMD $XLNX acquisition thing will affect $INTC tomorrow and next week
89766,-0.1511,"Going to unload all NQ before close, Not playing the $INTC shenanigans"
33595,0.0772,$intc now 50.5 down to 49.5 puts on watch.  Trigger would be to stay under 50.5 and then decide which leverage or erosion you want.
14787,0.0,"@USER First time I sold covered calls on $MBLY , a few days later a buyout news by $INTC  🤦🏻‍♂️🤦🏻‍♂️🤦🏻‍♂️"
31660,-0.4215,Luminar upgraded to Outperform at Northland after pullback on Mobileye worries $LAZR $INTC
31097,-0.4767,@USER 2020 terrible for $INTC
1002,0.0,"$INTC, Bullish Reversal, Volume Spike, 1 Minute, 09:19"
79292,-0.296,$INTC $SHAK pure manipulation by mm  
12274,0.5411,Look at $INTC trying to save my account today!
106658,-0.1531,@USER No prediction for $INTC but market doesn’t have to make sense
76625,0.34,"Watching $INTC. Forming the handle. If it approaches $62, we might see a breakout, fill the gap to $64 easily and may be fly higher. 👀"
60234,-0.3182,Intel - $INTC  💰 QUOTE $INTC was DOWN ⬇ on Fri Aug 07 Closed at 48.03 USD for a -1.11% loss from previous close 📉 📉 📉  📊 ANALYSIS Intel should be nationalized ☭ ☭ ☭
15800,0.4404,$INTC  Trading is easy with Buy and Short signals in real time.  
61730,0.3612,$INTC Seems like resistance is 47's
67862,0.0,$intc out
71062,0.25,Imagination CEO Sees Chance for ‘More Engagement’ With Apple $INTC $AAPL  
40759,0.296,#Options Flow Grid Update $INTC #OptionsTrading #Intel Shares 🔻10.81% to $48 #OptionsFlow #stocks #stock #StockMarket #investing #Investment      
55306,0.0,I’ve been adding to $INTC &amp; $CSCO since early August. Buying signal for me was they were both under 30 RSI. Building a big position 💪🏼
97051,0.5574,$NIO $INTC  Second dose of positive tidings in 2 days..   
7481,0.0,"$INTC expected to release Ice Lake server chip this Tuesday, April 6. $SPY $QQQ"
65807,0.3612,"$INTC should have just made a 9nm chip and called it a 7nm like $AMD did, then this wouldn’t be an issue"
119418,0.4404,$INTC reason I took profits  
89537,0.3612,I scooped a 52.5 amd weekly for 15$ today. Should be interesting. Please don’t mess up the call $intc.  
38650,0.7712,It looks like #BigNavi is the real deal !   Congratulations to @USER and crew. 🏆  $AMD $INTC $NVDA #AMD #NVIDIA #RTX3090 #RTX3080  
99913,0.0,$INTC Call buying  
47541,0.8271,"$INTC - For Years, Intel Sat On Its CPU Monopoly And Now The Tide Turns Against Them.    - 1,853% profits - 1/2 in $$ - last 14 years - buy #AIM #investing book, get free newsltr &amp; learn how -   -   - like $INTC"
131736,-0.4278,@USER $INTC--- COMING TO 52 WEEK LOW
28732,0.0,"$INTC [Dec-31 49.50 Calls] Option volume Up +181.98% |  Volume: 15,238 vs 5,404|"
56084,0.8062,I sold 90% of my $INTC position for a profit. Could’ve managed this swing so much better after having fills in the 47s still holding 15 shares with a 51-53 PT
75753,0.3818,$INTC NEW ARTICLE : Intel: Reward Outweighs Risk   Get all the latest $INTC related news here :  
52047,0.0,Intel | $INTC  intel sub 31?  Long or short it with BTC on Trade8:    
9807,0.0516,"If you missed the $INTC move, you can have another go . Given up all its gains.  (I'm passing)"
95069,0.0,$INTC Falls by -1.4%. The 29-Nov-19 Option Straddle is Implying a ±1.0% Move in the Next 2 days  
126365,0.0,Pinnacle Financial Partners Upped Its Intel $INTC Holding; 2 Analysts Bullish The Clorox Company $CLX   
