order;TSLA;AAPL;AMZN;FB;MSFT;TWTR;AMD;NFLX;NVDA;INTC
(1, 1);CE;0.57;CE;CE;CE;CE;0.547;CE;0.609;0.508
(1, 2);CE;CE;CE;0.508;0.5;CE;CE;0.586;0.602;0.516
(1, 3);CE;CE;CE;CE;0.508;CE;0.539;CE;0.609;CE
(1, 4);CE;CE;0.555;CE;0.492;CE;0.539;0.57;0.609;0.539
(1, 5);CE;CE;CE;CE;0.477;CE;CE;0.57;0.609;0.531
(2, 1);CE;0.57;0.547;CE;CE;0.516;0.531;0.602;CE;0.547
(2, 2);CE;CE;CE;0.5;CE;0.516;0.523;CE;CE;0.523
(2, 3);CE;CE;CE;CE;CE;CE;CE;0.594;CE;0.523
(2, 4);CE;CE;CE;CE;0.469;CE;CE;CE;0.57;0.516
(2, 5);CE;CE;0.539;0.508;CE;CE;CE;0.617;CE;0.523
(3, 1);CE;CE;CE;CE;CE;0.508;0.539;CE;0.57;0.594
(3, 2);CE;CE;CE;CE;CE;CE;0.539;CE;CE;0.578
(3, 3);CE;CE;CE;0.516;CE;CE;0.539;0.594;0.57;0.578
(3, 4);CE;CE;CE;0.484;0.461;CE;CE;CE;0.562;0.516
(3, 5);CE;CE;0.547;CE;0.461;CE;0.547;CE;0.594;0.516
(4, 1);CE;CE;CE;CE;CE;0.508;0.539;CE;CE;CE
(4, 2);CE;CE;CE;CE;CE;0.508;0.531;CE;CE;0.594
(4, 3);CE;CE;CE;CE;0.461;CE;0.539;CE;CE;0.547
(4, 4);CE;CE;CE;CE;0.461;CE;0.547;CE;CE;0.594
(4, 5);CE;CE;0.562;CE;0.461;CE;0.547;CE;0.602;0.539
(5, 1);CE;CE;CE;CE;0.484;0.516;0.539;CE;0.594;0.562
(5, 2);CE;0.562;CE;CE;0.484;0.516;0.547;CE;CE;0.562
(5, 3);CE;CE;CE;CE;0.477;0.508;0.547;0.586;0.594;0.57
(5, 4);CE;CE;CE;CE;CE;0.516;0.539;CE;0.609;0.539
(5, 5);CE;CE;CE;0.5;0.469;0.508;0.547;0.586;0.594;CE
